price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,mainroad_label,guestroom_label,basement_label,hotwaterheating_label,airconditioning_label,prefarea_label,furnishingstatus_label
10541999.999999963,7420.0,4,2.0,3,yes,no,no,no,yes,2,yes,furnished,1,0,0,0,1,1,0
10541999.999999963,8960.0,4,4.0,4,yes,no,no,no,yes,3,no,furnished,1,0,0,0,1,0,0
10541999.999999963,9960.0,3,2.0,2,yes,no,yes,no,no,2,yes,semi-furnished,1,0,1,0,0,1,1
10541999.999999963,4540.0,4,2.0,2,yes,no,yes,no,yes,3,yes,furnished,1,0,1,0,1,1,0
10541999.999999963,4540.0,4,1.0,2,yes,yes,yes,no,yes,2,no,furnished,1,1,1,0,1,0,0
10541999.999999963,7500.0,3,3.0,1,yes,no,yes,no,yes,2,yes,semi-furnished,1,0,1,0,1,1,1
10150000.0,8580.0,4,3.0,4,yes,no,no,no,yes,2,yes,semi-furnished,1,0,0,0,1,1,1
10150000.0,11812.799999999967,5,3.0,2,yes,no,no,no,no,0,no,unfurnished,1,0,0,0,0,0,2
9870000.0,8100.0,4,1.0,2,yes,yes,yes,no,yes,2,yes,furnished,1,1,1,0,1,1,0
9800000.0,5750.0,3,2.0,4,yes,yes,no,no,yes,1,yes,unfurnished,1,1,0,0,1,1,2
9800000.0,4540.0,3,1.0,2,yes,no,yes,no,yes,2,yes,furnished,1,0,1,0,1,1,0
9681000.0,6000.0,4,3.0,2,yes,yes,yes,yes,no,2,no,semi-furnished,1,1,1,1,0,0,1
9310000.0,6550.0,4,2.0,2,yes,no,no,no,yes,1,yes,semi-furnished,1,0,0,0,1,1,1
9240000.0,3500.0,5,2.0,2,yes,no,no,yes,no,2,no,furnished,1,0,0,1,0,0,0
9240000.0,7800.0,3,2.0,2,yes,no,no,no,no,0,yes,semi-furnished,1,0,0,0,0,1,1
9100000.0,6000.0,4,1.0,2,yes,no,yes,no,no,2,no,semi-furnished,1,0,1,0,0,0,1
9100000.0,6600.0,4,2.0,2,yes,yes,yes,no,yes,1,yes,unfurnished,1,1,1,0,1,1,2
8960000.0,8500.0,3,2.0,4,yes,no,no,no,yes,2,no,furnished,1,0,0,0,1,0,0
8890000.0,4600.0,3,1.0,2,yes,yes,no,no,yes,2,no,furnished,1,1,0,0,1,0,0
8855000.0,6420.0,3,2.0,2,yes,no,no,no,yes,1,yes,semi-furnished,1,0,0,0,1,1,1
8750000.0,4320.0,3,1.0,2,yes,no,yes,yes,no,2,no,semi-furnished,1,0,1,1,0,0,1
8680000.0,7155.0,3,2.0,1,yes,yes,yes,no,yes,2,no,unfurnished,1,1,1,0,1,0,2
8645000.0,8050.0,3,1.0,1,yes,yes,yes,no,yes,1,no,furnished,1,1,1,0,1,0,0
8645000.0,4560.0,3,2.0,2,yes,yes,yes,no,yes,1,no,furnished,1,1,1,0,1,0,0
8575000.0,8800.0,3,2.0,2,yes,no,no,no,yes,2,no,furnished,1,0,0,0,1,0,0
8540000.0,6540.0,4,2.0,2,yes,yes,yes,no,yes,2,yes,furnished,1,1,1,0,1,1,0
8463000.0,6000.0,3,2.0,4,yes,yes,yes,no,yes,0,yes,semi-furnished,1,1,1,0,1,1,1
8400000.0,8875.0,3,1.0,1,yes,no,no,no,no,1,no,semi-furnished,1,0,0,0,0,0,1
8400000.0,7950.0,5,2.0,2,yes,no,yes,yes,no,2,no,unfurnished,1,0,1,1,0,0,2
8400000.0,5500.0,4,2.0,2,yes,no,yes,no,yes,1,yes,semi-furnished,1,0,1,0,1,1,1
8400000.0,7475.0,3,2.0,4,yes,no,no,no,yes,2,no,unfurnished,1,0,0,0,1,0,2
8400000.0,7000.0,3,1.0,4,yes,no,no,no,yes,2,no,semi-furnished,1,0,0,0,1,0,1
8295000.0,4880.0,4,2.0,2,yes,no,no,no,yes,1,yes,furnished,1,0,0,0,1,1,0
8190000.0,5960.0,3,3.0,2,yes,yes,yes,no,no,1,no,unfurnished,1,1,1,0,0,0,2
8120000.0,6840.0,5,1.0,2,yes,yes,yes,no,yes,1,no,furnished,1,1,1,0,1,0,0
8080940.0,7000.0,3,2.0,4,yes,no,no,no,yes,2,no,furnished,1,0,0,0,1,0,0
8043000.0,7482.0,3,2.0,3,yes,no,no,yes,no,1,yes,furnished,1,0,0,1,0,1,0
7980000.0,9000.0,4,2.0,4,yes,no,no,no,yes,2,no,furnished,1,0,0,0,1,0,0
7962500.0,6000.0,3,1.0,4,yes,yes,no,no,yes,2,no,unfurnished,1,1,0,0,1,0,2
7910000.0,6000.0,4,2.0,4,yes,no,no,no,yes,1,no,semi-furnished,1,0,0,0,1,0,1
7875000.0,6550.0,3,1.0,2,yes,no,yes,no,yes,0,yes,furnished,1,0,1,0,1,1,0
7840000.0,6360.0,3,2.0,4,yes,no,no,no,yes,0,yes,furnished,1,0,0,0,1,1,0
7700000.0,6480.0,3,2.0,4,yes,no,no,no,yes,2,no,unfurnished,1,0,0,0,1,0,2
7700000.0,6000.0,4,2.0,4,yes,no,no,no,no,2,no,semi-furnished,1,0,0,0,0,0,1
7560000.0,6000.0,4,2.0,4,yes,no,no,no,yes,1,no,furnished,1,0,0,0,1,0,0
7560000.0,6000.0,3,2.0,3,yes,no,no,no,yes,0,no,semi-furnished,1,0,0,0,1,0,1
7525000.0,6000.0,3,2.0,4,yes,no,no,no,yes,1,no,furnished,1,0,0,0,1,0,0
7490000.0,6600.0,3,1.0,4,yes,no,no,no,yes,3,yes,furnished,1,0,0,0,1,1,0
7455000.0,4300.0,3,2.0,2,yes,no,yes,no,no,1,no,unfurnished,1,0,1,0,0,0,2
7420000.0,7440.0,3,2.0,1,yes,yes,yes,no,yes,0,yes,semi-furnished,1,1,1,0,1,1,1
7420000.0,7440.0,3,2.0,4,yes,no,no,no,no,1,yes,unfurnished,1,0,0,0,0,1,2
7420000.0,6325.0,3,1.0,4,yes,no,no,no,yes,1,no,unfurnished,1,0,0,0,1,0,2
7350000.0,6000.0,4,2.0,4,yes,yes,no,no,yes,1,no,furnished,1,1,0,0,1,0,0
7350000.0,5150.0,3,2.0,4,yes,no,no,no,yes,2,no,semi-furnished,1,0,0,0,1,0,1
7350000.0,6000.0,3,2.0,2,yes,yes,no,no,yes,1,no,semi-furnished,1,1,0,0,1,0,1
7350000.0,6000.0,3,1.0,2,yes,no,no,no,yes,1,no,unfurnished,1,0,0,0,1,0,2
7343000.0,11440.0,4,1.0,2,yes,no,yes,no,no,1,yes,semi-furnished,1,0,1,0,0,1,1
7245000.0,9000.0,4,2.0,4,yes,yes,no,no,yes,1,yes,furnished,1,1,0,0,1,1,0
7210000.0,7680.0,4,2.0,4,yes,yes,no,no,yes,1,no,semi-furnished,1,1,0,0,1,0,1
7210000.0,6000.0,3,2.0,4,yes,yes,no,no,yes,1,no,furnished,1,1,0,0,1,0,0
7140000.0,6000.0,3,2.0,2,yes,yes,no,no,no,1,no,semi-furnished,1,1,0,0,0,0,1
7070000.0,8880.0,2,1.0,1,yes,no,no,no,yes,1,no,semi-furnished,1,0,0,0,1,0,1
7070000.0,6240.0,4,2.0,2,yes,no,no,no,yes,1,no,furnished,1,0,0,0,1,0,0
7035000.0,6360.0,4,2.0,3,yes,no,no,no,yes,2,yes,furnished,1,0,0,0,1,1,0
7000000.0,11175.0,3,1.0,1,yes,no,yes,no,yes,1,yes,furnished,1,0,1,0,1,1,0
6930000.0,8880.0,3,2.0,2,yes,no,yes,no,yes,1,no,furnished,1,0,1,0,1,0,0
6930000.0,11812.799999999967,2,1.0,1,yes,no,yes,yes,no,1,no,furnished,1,0,1,1,0,0,0
6895000.0,7700.0,3,2.0,1,yes,no,no,no,no,2,no,unfurnished,1,0,0,0,0,0,2
6860000.0,6000.0,3,1.0,1,yes,no,no,no,yes,1,no,furnished,1,0,0,0,1,0,0
6790000.0,11812.799999999967,4,2.0,2,yes,no,no,no,no,2,yes,furnished,1,0,0,0,0,1,0
6790000.0,4000.0,3,2.0,2,yes,no,yes,no,yes,0,yes,semi-furnished,1,0,1,0,1,1,1
6755000.0,6000.0,4,2.0,4,yes,no,no,no,yes,0,no,unfurnished,1,0,0,0,1,0,2
6720000.0,5020.0,3,1.0,4,yes,no,no,no,yes,0,yes,unfurnished,1,0,0,0,1,1,2
6685000.0,6600.0,2,2.0,4,yes,no,yes,no,no,0,yes,furnished,1,0,1,0,0,1,0
6650000.0,4040.0,3,1.0,2,yes,no,yes,yes,no,1,no,furnished,1,0,1,1,0,0,0
6650000.0,4260.0,4,2.0,2,yes,no,no,yes,no,0,no,semi-furnished,1,0,0,1,0,0,1
6650000.0,6420.0,3,2.0,3,yes,no,no,no,yes,0,yes,furnished,1,0,0,0,1,1,0
6650000.0,6500.0,3,2.0,3,yes,no,no,no,yes,0,yes,furnished,1,0,0,0,1,1,0
6650000.0,5700.0,3,1.0,1,yes,yes,yes,no,yes,2,yes,furnished,1,1,1,0,1,1,0
6650000.0,6000.0,3,2.0,3,yes,yes,no,no,yes,0,no,furnished,1,1,0,0,1,0,0
6629000.0,6000.0,3,1.0,2,yes,no,no,yes,no,1,yes,semi-furnished,1,0,0,1,0,1,1
